image,caption
1850248973416611126.jpg,so boho  loving the infinity braid accent  used  texturizing spray for that lived in feel    curl bar set       inch iron    extensions that i colored with  colorditioners
1865476293878325559.jpg,mohawks can be romantic too  used  hold me for this style          inch curl bar from my curl bar set
1888708541687325091.jpg,tousled chignon  used  puff me and  texturizing spray to get this texture
1931411997367703023.jpg,braided christmas wreath  frizz control styling spray before braiding   hold me on the highest setting as my finishing spray
2010473992011454750.jpg,i am in love with infinity braids   the texture they create  details     texturizing spray for that lived in texture          inch curl bar
2020577415566327481.jpg,f l a  h b a c k friday to one of my favorite festival braid styles        hair accessory
2024227855189470625.jpg,spring time    used  extensions to add some beautiful pastel tones    puff me   hold me to create this style
1968096007275483809.jpg,i swear this is an absolute coincidence but i seem to be wearing pink on wednesday again  in other news i went to sleep half an hour earlier last night and feel much better for it yasss   bag gifted
1518766564269116841.jpg,starting the weekend with a   thanks for having us
1907687444988721676.jpg,buff ass travis scott  tag
1833012913863231096.jpg,soaking up the sun  outfit    edits   use my code caitdoll
2004019405429019929.jpg,chi like you a lot      makeup by  beth nolan
1967746435684388622.jpg,hey when life gives you lemons  or   cms of snow    make lemonade  or  this cool snow  car face  thanks for the share
1972861897174727791.jpg,big congrats to one of our favorite  rocking moms     who got her star on the   supported by her beautiful family  well deserved
1998769792236056252.jpg,yas  the devil wears prada is being made into a stage show with music by
1906048078335932060.jpg,giveaway   we love  so we teamed up with them to give one of you     credit to their shop  winner is     dm me to claim
1634496566160866784.jpg,took the sub  tonight  ran out of puns
1951802027961197051.jpg,category is     monday mood
2011262612775505177.jpg,new demin campaign
1785980794905435840.jpg,i will take  and a mini golf course over a prince and windsor castle any day
1788110314215295018.jpg,everything s all romantic before the after dinner bloat  thank for the fabulous meal   dress
1735696082217124879.jpg,thank you for having me last night   makeup
1824079333048865493.jpg,iggy azalea put me and  on her instagram story what what what
1849701955442594228.jpg,if you burn my hashbrown one more time hhhhshdb
1823846468638714047.jpg,summer  outfit from
1493838546385401463.jpg,mega coachella fomo from one of the dopest parties i have shot to date   at the  desert house
1949524428262047345.jpg,my first   this year and  i could not come up with a caption so     caption this       happy weekend my lovelies  make the best out of it     hat     sweater     suit     shoes
1489285838864716359.jpg,love this  jumpsuit   another shot from
1598790395592738530.jpg,when you run into  outside your audition
1563610433251607846.jpg,created this look using this months       eyes   electric eyes palette lip    beeper      invisible light powder duo   uni brow universal eyebrow pencil    setting spray
1583773100767193184.jpg,these shoes make me feel like a real bratz doll  top    pants     shoes
1588073114910053040.jpg,if i was you i would want to be me too  top utopia satin crop top   ivory     jeans  say yes to distress jeans   medium wash   shoes      shades
1604710166573105108.jpg,honey       top   highlight   shoutout to  for taking this picture
1669175709023968872.jpg,my brows today wow                                    eyebrows  precisely my brow   give me brow     lip   rock    lash  hot stuff     foundation    bronzer    mascara
1684431729824029088.jpg,the sun finally came out today                                  coat     dress    shoes                                                   new video on my youtube snapchat q a with my mom
1753114259766514041.jpg,i have been peepin  what you bringin  to the table                    i had so much fun at the  hq  exciting news coming soon                    dress    shoes
1755462740485204576.jpg,i think us bad bitches is a gift from god                        my outfit  top    pants   shoes      dress    shoes    cess  dress   shoes
1760662442256123427.jpg,mood all summer      unbothered and relaxed                       new wave   use code  bkay  for     off
1810532896273839100.jpg,this mixed berry drink got me drunk lol what is one drink that always sneaks up on you                    top     shorts
1964221717463381647.jpg,baby ontiveros wanted to say hi to everyone
1930141031560768177.jpg,happy freaking saturday guys       shop my daily looks by following me on the liketoknow it app            it
1931650421103161934.jpg,needed a lot of coffee to get me through today  but in the end it was a good day         shop your screenshot of this pic with the liketoknow it app          it
1935241410359307425.jpg,today has been a little lazy but it is been nice to relax   shop your screenshot of this pic with the liketoknow it app    it
1935934002969284258.jpg,one more for today  shop my daily looks by following me on the liketoknow it app                    it
1937467650403094352.jpg,i am super excited to have a day off tomorrow  i will be doing some product reviews and catching up on editing     shop your screenshot of this pic with the liketoknow it app                it
1957579867739802061.jpg,shop your screenshot of this pic with the liketoknow it app             it
1959198754151438197.jpg,xoxo   shop your screenshot of this pic with the liketoknow it app         it
1959948766481311531.jpg,new hair who dis      these extensions should last   years     yep you read that right    years no tangling and no shedding    shop your screenshot of this pic with the liketoknow it app    it
1960086142981756106.jpg,who wants to shoot tomorrow  hit me up     shop your screenshot of this pic with the liketoknow it app    it
1960089649738539334.jpg,the view      shop your screenshot of this pic with the liketoknow it app         it
1961431444355413026.jpg,shop my daily looks by following me on the liketoknow it app        it
1961560295219816409.jpg,happy sunday happy face or smiley    shop your screenshot of this pic with the liketoknow it app             it
1962026989964992609.jpg,so ready for this snow to be done so i can shoot some awesome looks i have planned        shop your screenshot of this pic with the liketoknow it app            it
1962893836343988980.jpg,shop my daily looks by following me on the liketoknow it app          it
1963642567783620789.jpg,love my short hair     shop your screenshot of this pic with the liketoknow it app           it
1963938788356367863.jpg,i feel like i have not slept in   nights now  it is always hard for me when my husband travels  anyone else get that way     shop your screenshot of this pic with the liketoknow it app            it
1964272856180632523.jpg,what you all doing for the weekend   give me the deets     shop your screenshot of this pic with the liketoknow it app       it
1964423998327967203.jpg,you can instantly shop my looks by following me on the liketoknow it app   it
1965058188828239058.jpg,i love these sunnies from  and they are only       you can instantly shop all of my looks by following me on the liketoknow it app           it
1965158572221785385.jpg,ah one more   you can instantly shop all of my looks by following me on the liketoknow it app            it
1965926818709460259.jpg,happy early sunday       shop my daily looks by following me on the liketoknow it app          it
1966522694888683559.jpg,feeling great  brandon and i decided to go out and get tattoos today and i am stoked about how they turned out          shop your screenshot of this pic with the liketoknow it app          it
1966885125058047477.jpg,happy monday peeps          shop your screenshot of this pic with the liketoknow it app             it
1967032797836410312.jpg,i am obsessed with shoes  i have a problem       shop your screenshot of this pic with the liketoknow it app    it
1968042094405877824.jpg,catching some zzzz       shop your screenshot of this pic with the liketoknow it app            it
1968628551956912659.jpg,i have the day off tomorrow   what should i do  what do you guys do on your days off  go answer in my story     shop your screenshot of this pic with the liketoknow it app          it
1969296276949585586.jpg,shop your screenshot of this pic with the liketoknow it app        it
1969509849097488146.jpg,outfit of the day       shop your screenshot of this pic with the liketoknow it app    it
1970954076897512427.jpg,tons of questions on my nails  i will be doing a nail tutorial soon        shop your screenshot of this pic with the liketoknow it app         it
1972409248903434318.jpg,black like my heart       shop your screenshot of this pic with the liketoknow it app            it
1973630211645015116.jpg,walking into my day off like       shop your screenshot of this pic with the liketoknow it app          it
1974860221802415282.jpg,happy friday guys   found these booties for        shop your screenshot of this pic with the liketoknow it app            it
1975947842335242812.jpg,loving this thing  finally fixed it up             it      shop your screenshot of this pic with the liketoknow it app
1976026734810963883.jpg,just trying to be cool       shop your screenshot of this pic with the liketoknow it app         it
1977439450402555880.jpg,hope everyone had a great monday   xoxo  a      shop your screenshot of this pic with the liketoknow it app           it
1979635626170253131.jpg,happy valentine s day guys  hope it was amazing  happy valentine s day to my hubby he is my one true love       shop your screenshot of this pic with the liketoknow it app         it
1979921087740650972.jpg,yay it is friday  what are your plans       shop your screenshot of this pic with the liketoknow it app            it
1981117885511585476.jpg,i am loving the snow  it is beyond beautiful outside        shop your screenshot of this pic with the liketoknow it app        it
1981769706978625692.jpg,hope everyone had an awesome sunday  mine was pretty lazy   i think it is always good to take a day off and do nothing       shop your screenshot of this pic with the liketoknow it app          it
1982253664623203221.jpg,but first coffee       shop your screenshot of this pic with the liketoknow it app    it
1982456288530280229.jpg,loving my sunnies           shop your screenshot of this pic with the liketoknow it app            it
1983057555942248919.jpg,just for the gram       shop your screenshot of this pic with the liketoknow it app         it
1983241145636257670.jpg,loving this lip color  i have linked all the colors in my favorite lipstick    shop your screenshot of this pic with the liketoknow it app          it
1984685367639733537.jpg,posted this look on my very first igtv  check it out and give it some love      shop your screenshot of this pic with the liketoknow it app          it
1985879226512261393.jpg,so exited to shoot with the talented   today    get ready for some sick looks   shop your screenshot of this pic with the liketoknow it app              it
1986148925754042508.jpg,beyond happy with the photo shoot i had today  stay tuned   so many amazing photos to come         shop your screenshot of this pic with the liketoknow it app  it
1986521995958059417.jpg,loved styling these simple looks and having them captured by  was amazing     shop your screenshot of this pic with the liketoknow it app          it
1986730384877216789.jpg,you like my hair  gee thanks just bought it       shop your screenshot of this pic with the liketoknow it app         it
1986866581704497166.jpg,sorry for the overload of photos  but i just love them      shop your screenshot of this pic with the liketoknow it app          it
1987227170406554178.jpg,one of the most amazing bags ever  so in love      shop your screenshot of this pic with the liketoknow it app    it
1987466008093545311.jpg,loving the new collection from hammitt       shop your screenshot of this pic with the liketoknow it app       it
1987629255102970837.jpg,loving the colors in this photo    goodnight  xoxo    shop your screenshot of this pic with the liketoknow it app            it pc
1988040375294859275.jpg,feel fabulous       shop your screenshot of this pic with the liketoknow it app          it
1988262400122735364.jpg,in love with my new cases      check out my story to get a closer look     shop your screenshot of this pic with the liketoknow it app          it
1988645584270383305.jpg,in love with this look     shop your screenshot of this pic with the liketoknow it app          it
1988908458473462214.jpg,in love my with hammitt bag       shop your screenshot of this pic with the liketoknow it app          it
1989040664898596759.jpg,this is still one of my fav bags i own  brandon got it for me as a christmas gift  i love it        shop your screenshot of this pic with the liketoknow it app    it
1989763734026113338.jpg,looking into the weekend like    also stay tuned i have a big post tomorrow   you will ha e to watch my stories to find out        shop your screenshot of this pic with the liketoknow it app    it
1990974200245225619.jpg,loving my new booties       shop your screenshot of this pic with the liketoknow it app          it
1991619878726287194.jpg,i love spending time with my hubby and fur babies on the weekend  happy sunday guys     shop your screenshot of this pic with the liketoknow it app    it
1991906285382430463.jpg,loving this top      shop your screenshot of this pic with the liketoknow it app             it
1992643522608787274.jpg,loving these sunnies from       shop your screenshot of this pic with the liketoknow it app           it
1992936853356372976.jpg,hope everyone is tuesday is as amazing as this photo  captured     shop your screenshot of this pic with the liketoknow it app          it
1994166935185858597.jpg,shop your screenshot of this pic with the liketoknow it app          it
1994882005742269143.jpg,shop your screenshot of this pic with the liketoknow it app            it
1995222323004101656.jpg,friday details     shop your screenshot of this pic with the liketoknow it app         it
1996176483685928938.jpg,shop your screenshot of this pic with the liketoknow it app          it
1996284646481200489.jpg,love these booties        shop your screenshot of this pic with the liketoknow it app        it
1997421387598760226.jpg,it is another monday  got some cool things from italy  stay tuned to see what it is       shop your screenshot of this pic with the liketoknow it app             it
1998021913935685706.jpg,i am this emoji    we even have the same sweater        shop your screenshot of this pic with the liketoknow it app          it
1999698884084245139.jpg,find yourself a friend who can go out and take pictures of you because your husband is busy        shop your screenshot of this pic with the liketoknow it app             it
1999929440982192368.jpg,happy friday guys  who is ready for the weekend       shop your screenshot of this pic with the liketoknow it app          it
2001045274257381473.jpg,do you ever have those days where you just do not know what to do  soo i will be organizing my closet if you need me       shop your screenshot of this pic with the liketoknow it app    it
2001869630978125542.jpg,can you say hair goals  i love wearing hair extensions they give me so much confidence       shop your screenshot of this pic with the liketoknow it app    it
2003400093500535029.jpg,one of my favorite jeans i own  shop your screenshot of this pic with the liketoknow it app         it
2003901217693331106.jpg,so in love worth these cases from    they have so many cutes ones       shop your screenshot of this pic with the liketoknow it app             it
2004998530264463951.jpg,perfect bag for spring  i love my  collection       shop your screenshot of this pic with the liketoknow it app           it
2005728444856791080.jpg,shop your screenshot of this pic with the liketoknow it app           it
2007724908143239499.jpg,shop your screenshot of this pic with the liketoknow it app        it
2008172791116234905.jpg,the hardest decision ever trying to see what outfits i want to bring with me on my trip  shop your screenshot of this pic with the liketoknow it app             it
2010057790530736956.jpg,and i am off      shop your screenshot of this pic with the liketoknow it app              it
2011280514334832899.jpg,what a magical day  just a sneak peak of my look today  shop your screenshot of this pic with the liketoknow it app    it
2011538978361568900.jpg,cannot sleep so here is another pictures of today s look  loving this color  and the sleeves       ahhh       shop your screenshot of this pic with the liketoknow it app    it
2014302831491107327.jpg,free people sunnies and these ones are my favorite  shop your screenshot of this pic with the liketoknow it app            it
2015158107823792701.jpg,my favorite shoes   iv linked a few similar looks in all price ranges  shop your screenshot of this pic with the liketoknow it app           it
2015653408938637752.jpg,tgif  shop your screenshot of this pic with the liketoknow it app            it
2016431654705645966.jpg,been wearing these for the past   weeks        shop your screenshot of this pic with the liketoknow it app          it
2016599120857720682.jpg,how do you style your white jeans  shop your screenshot of this pic with the liketoknow it app             it
2017301043411723659.jpg,who is ready for a new week        shop your screenshot of this pic with the liketoknow it app            it
2017711930761040989.jpg,can a girl have too many black boots   shop your screenshot of this pic with the liketoknow it app          it
2018314071175371260.jpg,sad i sold these shoes     shop your screenshot of this pic with the liketoknow it app    it
2019957660930417177.jpg,i love seeing all the flowers bloom  spring it here  shop your screenshot of this pic with the liketoknow it app                it
2020028852949464819.jpg,huge annual sale    amazing prices  do not miss out    check out    shop your screenshot of this pic with the liketoknow it app          it
2021678202641334878.jpg,shop your screenshot of this pic with the liketoknow it app              it
2021683105195609260.jpg,trying to catch some  but cannot     shop your screenshot of this pic with the liketoknow it app            it
2022090144556018841.jpg,denim on denim   do you love it   or hate it    shop your screenshot of this pic with the liketoknow it app              it
2022276509251996174.jpg,love these hoops     jewelryline   you can instantly shop all of my looks by following me on the liketoknow it app          it
2022714758755843008.jpg,guys i am so happy so many of you got some amazing bags from  during their big sale  cannot wait to see what you guys got   shop your screenshot of this pic with the liketoknow it app            it
2022896808569972875.jpg,loving these booties     shop your screenshot of this pic with the liketoknow it app        it
2024533126156781291.jpg,g night   shop your screenshot of this pic with the liketoknow it app            it
2025208564608758516.jpg,went on a beautiful bike ride to antelope island with my hubby  i love spending time with him and exploring utah   shop your screenshot of this pic with the liketoknow it app    it
2025264770169896984.jpg,shop your screenshot of this pic with the liketoknow it app            it
2025664827490798780.jpg,happy fri yay     shop your screenshot of this pic with the liketoknow it app            it
2027428506964026842.jpg,shop your screenshot of this pic with the liketoknow it app    it
2027941116402525679.jpg,get so many compliments on my sunnies  guys these are from amazon for      shop your screenshot of this pic with the liketoknow it app   it
2028150302012909372.jpg,shop your screenshot of this pic with the liketoknow it app   it
2028422759647071967.jpg,shop your screenshot of this pic with the liketoknow it app         it
2028787929812637064.jpg,need more neutral colors in my closet     shop your screenshot of this pic with the liketoknow it app            it
2029982624139987767.jpg,anyone else loving these shots as much as me     shop your screenshot of this pic with the liketoknow it app             it
2030718075859671002.jpg,tgif    walking into the weekend like     shop my daily looks by following me on the liketoknow it app            it
2031673425316444979.jpg,happy saturday guys  hope it is a great one   download the liketoknow it app to shop this pic via screenshot            it
2031722628117919869.jpg,i promise you will never find another like me   anyone else love taylor s new song   shop your screenshot of this pic with the liketoknow it app           it
2032830847179437511.jpg,happy monday guys     shop your screenshot of this pic with the liketoknow it app           it
2033194598034565587.jpg,shop your screenshot of this pic with the liketoknow it app         it
2034378067431284604.jpg,gucci gang       shop your screenshot of this pic with the liketoknow it app         it
1968479695185305624.jpg,what is your favorite season  mine is summer            bralette    tan
1972052879755084101.jpg,bebesita            top from
1576483457818640979.jpg,can we just talk about the cutest  ever  missing our little road trip
1765671129223244173.jpg,i will see you soon
1993858939474043678.jpg,love will find a way if it is meant tu b  and  silky salted caramel tub is only    calories which means i can have my cake iceream  and eat it too  exclusive to  stores  i am on cloud nine
1763328709836107546.jpg,such a busy week but man what a week  so got damn excited for life right now         outfit from
1927102219899921797.jpg,apply  and lift heavy shit   my arms are a work in progress  they will become guns of muscle lol  code  irene   at checkout for     off
1589296859574597357.jpg,miguel s angels   ft   video out now
1862680090159028176.jpg,that is the first time i would been taller than the london eye
1923237006318761634.jpg,pink all the way  credit
1708110216992070316.jpg,i am     fluffy     naughty      playful      snuggly      goofy      happy and     cute  hey  i am a dog  i cannot do math     harness from      grab your discount   ylvaerle at
1630772105317961444.jpg,thank you all so much for the support   your courage awes me  see the full story with link in bio
1695383416743639329.jpg,you already know what i am looking at
1758785537369615697.jpg,been married to this bad baddie dime piece  for   years now
1801865034440169479.jpg,guess who just signed with the     they are lucky  they get the cutest fan in the world with
1854695665416247314.jpg,i am going to miss my girls frown sad andry or pouting  thank you for an amazing trip
1475656441615499240.jpg,bet you have never seen this building before on instagram   shot and edited on my  pixel
1865390284206987910.jpg,in atlanta next wednesday   who wants to be there    tag your bestie and make sure you both follow the q for a chance to win free tickets    winners will be randomly chosen after  pm cst today
1914105612724551080.jpg,when  opens up in the art s district and shares a wall with  and
1921617923119814423.jpg,thanks for supporting my walk tonight  so much fun modeling  for   fashion show
1970813947825227397.jpg,john stole this photo first after i specifically said it was mine so you know how that goes show mine xxxtra love    it
1659659705738780514.jpg,winter is coming  time to get that teddy fur out
1822624316844757222.jpg,just out here being       check out  new mommy   me swimwear line  it is so fun
1684340074349981926.jpg,hello   i am glad to present you my brand new stickers  collection now available feat   link in bioconfusion
1685044906400459436.jpg,hello   i am glad to present you my brand new stickers  collection now available feat   link in bioconfusion
1685771920044625095.jpg,hello   i am glad to present you my brand new stickers  collection now available feat   link in bioconfusion
1970517544137800986.jpg,birthday girl  time to sign up for aarp
1522741377841386624.jpg,flamingo w
1660725193012964187.jpg,fill your life with adventures  not things  have stories to tell not things to show                                                    co   girls
1665096816734277935.jpg,this stormy summer weather has me missing spring
1673933985615801551.jpg,winter wonderland  please vote for our gold coast waterfall picture in the  competition  the link is in our bio
1701850465426621194.jpg,we have made it to indonesia and i think there is magic in the water to make it this blue
2021978767622312921.jpg,the adventure is going on              adv
2025555295027329798.jpg,exceed to succeed
1465721194024446002.jpg,this world amazes me a little more everyday
1483075983158569896.jpg,there is still so much of canada i have not seen before  i am hoping to change that this year
1782967729159241736.jpg,which gown of meghan markle s was your fave  the ceremony by  or the reception by
1829393770057872946.jpg,when your denim vibe plays off your current sunday vibe   seriously  di stressed     coming from someone who hates wearing shorts  this high waisted  pair is the only pair i buy again and again
1862816324692891720.jpg,jumpsuit fever     it
1870065791494020088.jpg,postcards from california
1905540157820161980.jpg,sundays in november   cozied up in my  knit i picked up  a few weekends back  the temps are starting to drop here in the city
1504206713560109739.jpg,happy birthday
1506746296785059813.jpg,according to my calculations    you should never drink and drive  link to interview with  in my bio  check it out
1510345370058863702.jpg,my first  experience was unforgettable  thank you to my stylist  for dressing me in   congratulations to the cast of  on winning show of the year  until next year
1526439118660337666.jpg,working alongside  on  was nothing short of an incredible experience  if you have not already  go watch it and let me know what you think
1644469472226100489.jpg,i have definitely seen better days
1781403934477679111.jpg,it is the freakin catalina wine mixer       my new favorite mini vacation   i will be back    terminator voiceconfusion
1803952916575626272.jpg,thanks  for having me  a blast as always  hair by the amazing   styled by the best    jewelry from the talentetongue sticking out cheeky playful or blowing a raspberry  sick suit
2013370869314024189.jpg,when bitches be like   oh them ge my hair is almost touching my butt   new video in my bio  also you can use my code  ashly  for     off for this cute fit
1819809371278930009.jpg,my sweet little apartment in barcelona
1979178629871045780.jpg,promo code for a good discount alexander  
1818907998733343697.jpg,toujours      chez  avec le code cameronb
1857023697460545013.jpg,thank you to all who came out to visit me today i will be handing out more     off  textbook coupons this friday so look the heck out
1789696909201221225.jpg,here is to never growing up
1639385057537083165.jpg,back to the basics with  hot sauce  when you do not have time to go food shopping so this becomes your go to breakfast lunch dinner  college man      used  for this fab toast
1739369885529632507.jpg,holy  this beet ricotta grilled cheese hit the spot    needed a warm lunch with this super snowy day  hoping everyone is staying warm           for bread   for beets  grilled using  ghee
1800048450803309864.jpg,breakfast perfection  everything but the bagel   hemp  on some toasted glutenous rustic bread from
1938369594634091758.jpg,lumos  i think harry s wand is the one for me  does anyone have a  wand   if so who is do you have
1945690498217023570.jpg,i just cannot help myself when i am in   especially around all the  goodies   what is your favourite makeup brand
1949286918408905936.jpg,tgif  i am having a chilled weekend and planning my content  what are you up too        shop it here
1960186402198305707.jpg,   dress   ways  which one is your favourite             shop it here
1958914411487201523.jpg,basics are never basic at fashionnova    hoodie by
1967641790450701192.jpg,good hair day  top      giveaway day   confusion
1661636829985652652.jpg,best place w   chez
1888335042439994214.jpg,good morning
1708999296429799381.jpg,i cannot look at this wall and not think about those yogos candies i ate in elementary school
1777853029708299693.jpg,she smiles happy face smiley top from
1793759165414157722.jpg,nineteen years young with many more to come
1882198644155135595.jpg,its my boyfriend   s birthday   but despite today being one of the most important days in history ever  we still had school    which i am going to is rude but ok
1893016717510463233.jpg,it is thursday and i am already ready for a g t  anyone else been feeling in some kind of funk this week  or is it just me     or maybe another retrograde   it
1911150860396610771.jpg,tonight s birthday ootn back at it with a classic  look of course  ready to go see chicago the musical and it is looking a lot like christmas in london today
1932099647084213259.jpg,cosy but glam channeling my inner blair waldorf today  picked up this coat  headband and tights today i will soon link over on  it for you to shop the full look
1662057703923832668.jpg,give your back to negative people    let your work say what you have accomplished  dress
1666342523705299853.jpg,boots out because it is finally    degrees in florida  obsessed with these boots from  with the laces on the back
1725581915976056817.jpg,dress
1966406448049119188.jpg,i jokingly told my best friend on friday that josh should propose this weekend so that i could enter the  and  giveaway  let us just say his timing was impeccable
1813512741596500079.jpg,smiles because today is the first time in four days i did not wake up looking like a member of the
1880094577795176452.jpg,i cannot even begin to describe how excited i am for tomorrow where i get to see our perfect beautiful wedding day in  just look at my gorgeous husband  link is in my bio for little sneak peak
1937131846657018935.jpg,thank you  straight from the runway   head to toe          dream team  photographer s   mua   hair   editors  retouching
1872201048215872471.jpg,i truly believe that one is never fully dressed until they wear a perfume  do you agree  tag your fav perfume brand below  mine is   and
1881398969024976041.jpg,sometimes a red lipstick can do wonders
2005647849844633007.jpg,inner  is great but a little  re  good enough quantityconfusion  never hurts   loving this mascara from  that  sent us a couple of weeks back
1973017441571228116.jpg,thank you    for having us   and  of course  a huge congratulations to  for launching  tonight
1975426913166381162.jpg,comment   yes   if you agree    follow  for more    like  tag someone    share    via
1991426750512829163.jpg,comment   yes   if you agree    follow  for more    like  tag someone    share to support us    via  cr
2007108035763651040.jpg,what do you think
1712591906071891722.jpg,you know it is true friendship when they start taking pictures of you  got my sunnies from
1717654677255619754.jpg,guess this is a typical tourist picture advert love my white sunnies from  you can now get     off with my code akuavi  
1721787774566054989.jpg,  of my favorite things  my cluse watch  the scent from hugo boss   coco chanel s book  advert  you can get your changing bracelet for free with my code akuavi
1771196362891033880.jpg,whitens teeth in    minutes   still testing the
1773449999868623953.jpg,yesterday i was able to be part at the event of tally weijl where we talked a lot about the power of social media in our society and about the time we are living in  thanks  for this amazing day
1794466495038102956.jpg,in love with my new outfit from  get the new collection now in stores   x
1801718515121972715.jpg,got this day   night toothpaste that whitens teeth from  some of you asked me for a review  so after view weeks of testing i can say that i am very satisfied with the products  x
1808961978750088236.jpg,rocking my outfit with my new sunnies from  you can know get     off with my link in bio
1815479399145079743.jpg,enjoying the championship in my  outfit   who are you supporting
1830008865527577457.jpg,whitens teeth in    minutes
1851733481601948740.jpg,you can now get     off on this look with my code akuavi  
1889170016974440499.jpg,so in love with the  store   the interior is so fancy
1927848669529300663.jpg,reminderyou can get     off with my code akuavi      my code is valid for   h so hurry up
1986548501996106428.jpg,wearing the new spring collection of
1992694575005684806.jpg,love my black skirt and jacket from the new spring collection of
2022020871439105027.jpg,love the my white blouse from
1945902217010907175.jpg,pnd
1956232440885718266.jpg,leaving  x  today with a stunning rose gold gym bag that is reversible  thanks to  i have a super cute bag to carry my  activewear to the gym  thank you so much for this goodie bag
2029363370790422680.jpg,tonight s pvc   wearing
2006164218822398767.jpg,you all ever seen    south on a beautiful saturday  took  to  for the first time and now we are both  ready
1616357768761984201.jpg,happy birthday you little shit
1737909626437271606.jpg,a new post just went up on my blog showing off this cute silky  top and also talking a bit about self love and some tips on how to give yourself some  link is in my bio if you want to check it out
1963977686239885177.jpg,uncanny resemblance  the one and only
1967185301706946859.jpg,beautiful photo  the cast of  and  hung out at the sag awards  along with mike myers and darren criss    photo by
2017346953659951615.jpg,please tell me this is real   rush hour       by the way happy   th birthday
1911328954602848385.jpg,are coming to wichita this thursday for a private       follow    repost and     answer the q of the day on our ig story
1913587531027781114.jpg,eat   greet photos at the  are up  click the link in the bio
1984412468537253199.jpg,hey   we got something special for ya   we are beyond excited to present  at
1961904388243933208.jpg,anzeige ad  i m literally living in teddy jackets   outfit    direct links on my ig story
1972774733834325783.jpg,anzeige ad  choose you are favorite saying on my jeans   wearing
1976375950917401694.jpg,anzeige ad  shades of nude   outfit is from   direct links on my ig story
1828463249781629586.jpg,saturday branching at   wearing
1848059771821140326.jpg,happy friday   white jeans are my summer go to and this pair of levi s from  are perfect
